Composite	Numerator	Denomintor
91000168101	90011000036103	51000168106
311000168101	90011000036103	97011000036102
321000168108	99011000036109	97011000036102
331000168106	100011000036107	55011000036104
700000041000036105	30428011000036107	30428011000036107
71000168102	99011000036109	51000168106
61000168108	99011000036109	41000168109
700000791000036101	100011000036107	100011000036107
700001251000036109	100011000036107	33011000036104
700001171000036107	73600011000036107	30011000036107
56601000168105	99011000036109	55011000036104
700000751000036105	90011000036103	30011000036107
700000761000036108	99011000036109	30011000036107
700000771000036100	99011000036109	100011000036107
700000781000036103	99011000036109	99011000036109
700000801000036102	99011000036109	700001301000036101
700000811000036100	30011000036107	30011000036107
700000821000036107	100011000036107	700001301000036101
700000831000036109	100011000036107	30011000036107
700000841000036104	79011000036104	700001301000036101
700000861000036103	37011000036108	30011000036107
700000871000036106	90011000036103	100011000036107
700000881000036108	90011000036103	700001301000036101
700000891000036105	79011000036104	30011000036107
700000901000036106	37011000036108	700001301000036101
700000911000036108	73604011000036102	700001301000036101
700000921000036101	58011000036105	700001301000036101
700000931000036104	75011000036101	700001301000036101
700000941000036109	78011000036107	700001301000036101
700000951000036107	73011000036102	700001301000036101
700000961000036105	73599011000036105	30011000036107
700000971000036102	96011000036100	30011000036107
700000981000036100	90011000036103	92011000036104
700000991000036103	78011000036107	30011000036107
700001001000036104	79011000036104	100011000036107
700001011000036102	30011000036107	100011000036107
700001031000036106	51011000036101	700001301000036101
700001051000036103	30011000036107	700001301000036101
700001061000036100	73607011000036108	700001301000036101
700001071000036108	73603011000036104	700001301000036101
700001081000036105	75755011000036108	30011000036107
700001101000036103	82011000036100	700001301000036101
700001111000036101	52011000036107	30011000036107
700001121000036108	99011000036109	52955011000036103
700001131000036105	35808011000036103	700001301000036101
700001141000036100	38011000036109	30011000036107
700001151000036102	73606011000036105	700001301000036101
700001161000036104	61011000036108	30011000036107
700001191000036106	922887011000036102	700001301000036101
700001201000036108	73605011000036103	30011000036107
700001211000036105	73602011000036106	700001301000036101
700001241000036106	90011000036103	48075011000036107
693141000168105	693131000168101	30011000036107
710471000168106	79011000036104	33011000036104
710481000168109	99011000036109	33011000036104
715461000168105	99011000036109	712091000168102
715471000168104	90011000036103	712091000168102
751111000168108	90011000036103	64888011000036103
762211000168104	762201000168102	30011000036107
768711000168105	75755011000036108	700001301000036101
815461000168108	61011000036108	700001301000036101
836281000168102	836271000168100	700001301000036101
837371000168106	693131000168101	700001301000036101
